Sample;Sand;Silt;Clay;pH (H2O);pH (KCl);pH (pH CaCl2);OM (g.kg-1);SOC (g.kg-1);P (mg dm3);K (mmolc/dm3);Ca (mmolc/dm3);Mg (mmolc/dm3);Al (mmolc/dm3);H (mmolc/dm3);H+Al (mmolc/dm3);SB (mmolc/dm3);CEC (mmolc/dm3);V%;Classe V%;m%;s (mg dm3);Na (mg dm3);B (mg dm3);Fe (mg dm3);Cu (mg dm3);Zn (mg dm3);Mn (mg/dm3);Mg;Al;Si;P;S;Cl;k;Ca;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Sb;W;Hg;Pb;Bi;Th;U
25_001;571;19;410;6.2;;5.6;22;12.76102088;;3.6;23;9;0;16;16;35.8;51.8;69.11;Eutrófico;0;7.5;4.1;0.25;43.9;0.6;1.1;;1.88;13.99;16.35;0;0;0;0;0;0.2805;0;0;0.0114;2.7158;0;0;0;0.0025;0;0;0.0016;0.0016;0.0008;0.0343;0.0022;0;0;0;0;0;0;0;0.0012;0;0;0
25_002;438;52;510;5.8;;5.2;31;17.98143852;;1.9;31;11;0;22;22;44.1;66.1;66.72;Eutrófico;0;12.3;4;0.55;42.9;1.2;2.7;;2.06;14.17;15.96;0.037;0;0;0;0;0.3202;0;0;0.0168;2.9614;0;0;0.0022;0.0032;0;0;0.0024;0.0021;0.0009;0.0324;0.0017;0;0;0.0036;0;0;0;0;0.0009;0;0;0
25_003;488;52;460;5.4;;4.8;33;19.14153132;;3.2;36;11;0;33;33;50.4;83.4;60.43;Eutrófico;0;10;4.8;0.38;54.1;1.6;2.2;;2.81;16.4;12.05;0.0288;0;0;0;0;0.963;0;0.0094;0.0116;6.7182;0;0.005;0.0051;0.0027;0.0017;0;0.0022;0.0013;0.0038;0.0632;0.0066;0;0;0;0;0;0;0;0.0016;0;0.0022;0
25_004;488;52;460;6;;5.4;19;11.02088167;;2.5;28;9;0;21;21;39.8;60.8;65.46;Eutrófico;0;10.9;5.8;0.23;28.8;1.7;0.8;;2.65;13.07;16.37;0;0;0;0;0;0.5361;0.0347;0.0157;0.0396;6.9797;0;0.0049;0.0043;0.0035;0.0014;0;0.0104;0.0021;0.0043;0.0411;0.0038;0;0;0;0;0;0;0;0.0029;0;0;0
25_005;538;52;410;5.3;;4.7;22;12.76102088;;3;24;6;0;31;31;33.2;64.2;51.71;Eutrófico;0;12.2;4.8;0.26;69.8;0.7;2.2;;1.84;9.93;6.3;0.089;0;0;0;0;2.2473;0.0606;0;0.078;12.24;0;0.0032;0.0103;0.0054;0;0;0;0.0009;0.0011;0.0373;0.0062;0;0;0;0;0;0;0;0.0015;0;0;0
25_006;455;36;510;6.2;;5.6;38;22.04176334;;3.7;46;14;0;24;24;63.9;87.9;72.7;Eutrófico;0;9.1;5.4;0.2;30.5;1;4.8;;1.69;7.88;22.59;0.029;0;0;0;0;0.2315;0;0;0.0062;0.8686;0;0;0;0;0;0;0;0.0003;0;0.0134;0;0;0;0;0;0;0;0;0;0;0;0
25_007;505;36;460;6.3;;5.7;34;19.72157773;;5.1;46;14;0;20;20;65.3;85.3;76.55;Eutrófico;0;6.4;5;0.46;42.7;1.1;9.2;;1.95;10.33;10.34;0.0331;0;0;0;0;0.6813;0;0.0105;0.0088;4.0056;0;0.003;0.0018;0;0.0009;0;0.0005;0.0022;0.0018;0.0576;0.0028;0;0;0;0;0;0;0;0.0011;0;0;0
25_008;505;36;460;5.5;;4.9;23;13.34106729;;3.2;24;7;0;28;28;34.4;62.4;55.13;Eutrófico;0;16.6;5.7;0.24;45.7;1.5;3.9;;2.18;13.74;12.67;0.0446;0;0;0;0;0.6437;0;0.0074;0.0229;6.0516;0;0.0053;0.0043;0.0043;0;0;0.0018;0.002;0.0019;0.0585;0.0047;0;0;0.0039;0;0;0;0;0.0017;0;0;0
25_009;591;51;357;5.1;;4.5;19;11.02088167;;1.8;17;5;3;26;29;24;53;45.28;Distrófico;11.11;10.9;5.2;0.3;102.2;0.4;1.6;;2.05;14.99;8.12;0.0177;0;0;0;0;0.4847;0;0.0216;0.0139;6.7444;0;0.0051;0.0031;0.0031;0;0;0.0008;0.0005;0;0.0312;0.0025;0;0;0;0;0;0;0;0.0014;0;0;0
25_010;208;84;707;5.9;;5.3;33;19.14153132;;3.8;31;16;0;25;25;51;76;67.11;Eutrófico;0;4.5;4;0.32;32.5;0.7;0.9;;1.97;15.12;8.62;0.0376;0;0;0;0;0.6858;0;0.0105;0.0143;7.3081;0;0.0036;0.0039;0.0037;0;0;0.0005;0.0013;0.001;0.0314;0.0049;0;0;0;0;0;0;0;0.0028;0;0.0021;0
